eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary
1.97001E+11,1970,1,0,,0,,101,Japan,4,East Asia,Fukouka,Fukouka,33.580412,130.396361,1,0,,
1.97003E+11,1970,3,31,,1,03/04/1970,101,Japan,4,East Asia,Fukouka,Fukouka,33.580412,130.396361,1,0,,
1.97111E+11,1971,11,20,,0,,201,Taiwan,4,East Asia,Penghu,Unknown,23.583333,119.58333,4,0,,
1.97304E+11,1973,4,25,,0,,101,Japan,4,East Asia,Kanagawa,Yokosuka,35.281341,139.6722,1,0,,
1.97308E+11,1973,8,29,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97407E+11,1974,7,15,,0,,101,Japan,4,East Asia,Hyogo,Itami,34.784306,135.400947,1,0,,
1.97408E+11,1974,8,15,,0,,184,South Korea,4,East Asia,Seoul,Seoul,37.566535,126.977969,1,0,,
1.97411E+11,1974,11,14,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97411E+11,1974,11,22,,0,,101,Japan,4,East Asia,Fukouka,Fukouka,33.580412,130.396361,1,0,,
1.97502E+11,1975,2,28,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97504E+11,1975,4,19,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97505E+11,1975,5,25,,0,,101,Japan,4,East Asia,Aichi,Nagoya,35.181446,136.906398,1,0,,
1.97505E+11,1975,5,25,,0,,101,Japan,4,East Asia,Tokyo,Tachikawa,35.714008,139.407855,1,0,,
1.97507E+11,1975,7,19,,0,,101,Japan,4,East Asia,Tokyo,Kasumigaseki,35.689125,139.747742,1,0,,
1.97507E+11,1975,7,23,,0,,101,Japan,4,East Asia,Okinawa,Okinawa,26.334427,127.805583,1,0,,
1.97508E+11,1975,8,14,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97508E+11,1975,8,14,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97508E+11,1975,8,14,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97509E+11,1975,9,24,,0,,101,Japan,4,East Asia,Unknown,Unknown,,,5,0,,
1.97509E+11,1975,9,24,,0,,101,Japan,4,East Asia,Unknown,Unknown,,,5,0,,
1.9751E+11,1975,10,15,,0,,101,Japan,4,East Asia,Tokyo,Ogikubo,35.689125,139.747742,1,0,,
1.97603E+11,1976,3,2,,0,,101,Japan,4,East Asia,Hokkaido,Sapporo,43.062096,141.354376,1,0,,
1.9761E+11,1976,10,17,,0,,201,Taiwan,4,East Asia,Taipei,Taipei,25.091075,121.559834,1,0,,
1.977E+11,1977,0,0,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.977E+11,1977,0,0,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.977E+11,1977,0,0,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97711E+11,1977,11,0,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97801E+11,1978,1,1,,0,,101,Japan,4,East Asia,Kyoto,Kyoto,35.011636,135.768029,1,0,,
1.97801E+11,1978,1,27,,0,,101,Japan,4,East Asia,Ibaraki,Mito,36.365856,140.471222,1,0,,
1.97801E+11,1978,1,27,,0,,101,Japan,4,East Asia,Ibaraki,Mito,36.365856,140.471222,1,0,,
1.97801E+11,1978,1,27,,0,,101,Japan,4,East Asia,Ibaraki,Katsuta,36.393644,140.524393,1,0,,
1.97801E+11,1978,1,27,,0,,101,Japan,4,East Asia,Ibaraki,Mito,36.365856,140.471222,1,0,,
1.97802E+11,1978,2,25,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.97803E+11,1978,3,13,,0,,101,Japan,4,East Asia,Chiba,Chiba,35.607221,140.10627,1,0,,
1.97803E+11,1978,3,19,,0,,101,Japan,4,East Asia,Hyogo,Itami,34.784306,135.400947,1,0,,
1.97803E+11,1978,3,26,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.97803E+11,1978,3,27,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.97805E+11,1978,5,5,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.97805E+11,1978,5,7,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.97805E+11,1978,5,12,,0,,101,Japan,4,East Asia,Hyogo,Itami,34.784306,135.400947,1,0,,
1.97805E+11,1978,5,18,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97805E+11,1978,5,18,,0,,101,Japan,4,East Asia,Saitama,Omiya,35.906259,139.628634,1,0,,
1.97805E+11,1978,5,20,,0,,101,Japan,4,East Asia,Chiba,Onjuku,35.191506,140.348796,1,0,,
1.97805E+11,1978,5,20,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.97805E+11,1978,5,21,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.97805E+11,1978,5,26,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.97805E+11,1978,5,29,,0,,101,Japan,4,East Asia,Hyogo,Itami,34.784306,135.400947,1,0,,
1.97806E+11,1978,6,0,,0,,101,Japan,4,East Asia,Ibaraki,Mt. Tsukuba,36.225339,140.106704,1,0,,
1.97806E+11,1978,6,15,,0,,101,Japan,4,East Asia,Osaka,Osaka,34.693738,135.502165,1,0,,
1.97806E+11,1978,6,18,,0,,101,Japan,4,East Asia,Osaka,Osaka,34.693738,135.502165,1,0,,
1.97806E+11,1978,6,30,,0,,101,Japan,4,East Asia,Chiba,Ryufukuji,35.801274,140.178999,1,0,,
1.97807E+11,1978,7,20,,0,,101,Japan,4,East Asia,Kanagawa,Yokohama,35.443708,139.638026,1,0,,
1.97807E+11,1978,7,30,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97808E+11,1978,8,3,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97808E+11,1978,8,9,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97809E+11,1978,9,3,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.97809E+11,1978,9,4,,0,,101,Japan,4,East Asia,Chiba,Chiba,35.607221,140.10627,1,0,,
1.97809E+11,1978,9,4,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97809E+11,1978,9,16,,0,,101,Japan,4,East Asia,Okinawa,Okinawa,26.334427,127.805583,1,0,,
1.9781E+11,1978,10,0,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97812E+11,1978,12,15,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.97812E+11,1978,12,17,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.979E+11,1979,0,0,,0,,101,Japan,4,East Asia,Unknown,Unknown,,,5,0,,
1.97902E+11,1979,2,6,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97903E+11,1979,3,18,,0,,101,Japan,4,East Asia,Aichi,Nagoya,35.181446,136.906398,1,0,,
1.97903E+11,1979,3,18,,0,,101,Japan,4,East Asia,Osaka,Osaka,34.693738,135.502165,1,0,,
1.97903E+11,1979,3,18,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97903E+11,1979,3,18,,0,,101,Japan,4,East Asia,Ibaraki,Unknown,36.341811,140.446793,4,0,,
1.97903E+11,1979,3,31,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97904E+11,1979,4,29,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97906E+11,1979,6,0,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97906E+11,1979,6,9,,0,,101,Japan,4,East Asia,Kanagawa,Kawasaki,35.530906,139.703051,1,0,,
1.97906E+11,1979,6,15,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97906E+11,1979,6,20,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97906E+11,1979,6,24,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97906E+11,1979,6,24,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97906E+11,1979,6,27,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.97906E+11,1979,6,28,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98002E+11,1980,2,6,,0,,89,Hong Kong,4,East Asia,Hong Kong,Hong Kong,22.281867,114.161326,1,0,,
1.98102E+11,1981,2,21,,0,,89,Hong Kong,4,East Asia,Hong Kong,Hong Kong,22.281867,114.161326,1,0,,
1.98103E+11,1981,3,16,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98103E+11,1981,3,31,,0,,89,Hong Kong,4,East Asia,Hong Kong,Hong Kong,22.281867,114.161326,1,0,,
1.98108E+11,1981,8,19,,0,,89,Hong Kong,4,East Asia,Hong Kong,Hong Kong,22.281867,114.161326,1,0,,
1.98203E+11,1982,3,18,,0,,184,South Korea,4,East Asia,Busan,Busan,35.179554,129.075642,1,0,,
1.98209E+11,1982,9,7,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98209E+11,1982,9,17,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98305E+11,1983,5,27,,0,,101,Japan,4,East Asia,Osaka,Toyonaka,34.781266,135.469739,1,0,,
1.98306E+11,1983,6,8,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.98307E+11,1983,7,0,,0,,101,Japan,4,East Asia,Kanagawa,Sagamihara,35.571462,139.373176,1,0,,
1.98307E+11,1983,7,4,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.98307E+11,1983,7,5,,0,,101,Japan,4,East Asia,Kanagawa,Yokosuka,35.281341,139.6722,1,0,,
1.98307E+11,1983,7,5,,0,,101,Japan,4,East Asia,Kanagawa,Zama,35.488587,139.407673,1,0,,
1.98307E+11,1983,7,5,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98307E+11,1983,7,5,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98309E+11,1983,9,22,,0,,184,South Korea,4,East Asia,Daegu,Daegu,35.871435,128.601445,1,0,,
1.98311E+11,1983,11,1,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98311E+11,1983,11,1,,0,,101,Japan,4,East Asia,Yamaguchi,Iwakuni,34.166562,132.218848,1,0,,
1.98311E+11,1983,11,8,,0,,101,Japan,4,East Asia,Osaka,Izumi,34.483474,135.423522,1,0,,
1.98311E+11,1983,11,18,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98402E+11,1984,2,13,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.98404E+11,1984,4,4,,0,,101,Japan,4,East Asia,Osaka,Osaka,34.693738,135.502165,1,0,,
1.98407E+11,1984,7,16,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98407E+11,1984,7,16,,0,,101,Japan,4,East Asia,Chiba,Ryufukuji,35.801274,140.178999,1,0,,
1.98407E+11,1984,7,16,,0,,101,Japan,4,East Asia,Kanagawa,Yokohama,35.443708,139.638026,1,0,,
1.98407E+11,1984,7,16,,0,,101,Japan,4,East Asia,Aichi,Kariya,34.989224,137.002107,1,0,,
1.98407E+11,1984,7,16,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98407E+11,1984,7,16,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98407E+11,1984,7,16,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98407E+11,1984,7,16,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98407E+11,1984,7,16,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98409E+11,1984,9,6,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98409E+11,1984,9,19,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.9841E+11,1984,10,8,,0,,101,Japan,4,East Asia,Osaka,Yao,34.626864,135.600978,1,0,,
1.98412E+11,1984,12,27,,0,,101,Japan,4,East Asia,Kanagawa,Yokohama,35.443708,139.638026,1,0,,
1.98501E+11,1985,1,1,,0,,101,Japan,4,East Asia,Osaka,Osaka,34.693738,135.502165,1,0,,
1.98504E+11,1985,4,13,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.98504E+11,1985,4,13,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98505E+11,1985,5,7,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.98505E+11,1985,5,7,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.98505E+11,1985,5,7,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.98506E+11,1985,6,23,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.98507E+11,1985,7,1,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.98507E+11,1985,7,20,,0,,101,Japan,4,East Asia,Chiba,Tomisato,35.726808,140.343058,1,0,,
1.98511E+11,1985,11,29,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98603E+11,1986,3,25,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98603E+11,1986,3,25,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98603E+11,1986,3,28,,0,,101,Japan,4,East Asia,Osaka,Osaka,34.693738,135.502165,1,0,,
1.98603E+11,1986,3,28,,0,,101,Japan,4,East Asia,Osaka,Osaka,34.693738,135.502165,1,0,,
1.98603E+11,1986,3,31,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98604E+11,1986,4,2,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98604E+11,1986,4,15,,0,,101,Japan,4,East Asia,Tokyo,Fussa,35.73845,139.326932,1,0,,
1.98606E+11,1986,6,19,,0,,101,Japan,4,East Asia,Okinawa,Naha,26.22853,127.68911,1,0,,
1.98609E+11,1986,9,14,,0,,184,South Korea,4,East Asia,Seoul,Seoul,37.558947,126.798341,1,1,,
1.98609E+11,1986,9,24,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.9861E+11,1986,10,23,,0,,101,Japan,4,East Asia,Chiba,Chiba,35.607221,140.10627,1,0,,
1.98612E+11,1986,12,15,,0,,184,South Korea,4,East Asia,Busan,Busan,35.179554,129.075642,1,0,,
1.98701E+11,1987,1,19,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98701E+11,1987,1,19,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98701E+11,1987,1,19,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98703E+11,1987,3,15,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98705E+11,1987,5,6,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98705E+11,1987,5,22,,0,,101,Japan,4,East Asia,Saitama,Saitama,35.861729,139.645482,1,0,,
1.98708E+11,1987,8,27,,0,,101,Japan,4,East Asia,Osaka,Izumisano,34.406726,135.326951,1,0,,
1.98708E+11,1987,8,27,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98709E+11,1987,9,24,,0,,101,Japan,4,East Asia,Aichi,Nagoya,35.181446,136.906398,1,0,,
1.9871E+11,1987,10,25,,0,,101,Japan,4,East Asia,Okinawa,Naha,26.22853,127.68911,1,0,,
1.98801E+11,1988,1,22,,0,,101,Japan,4,East Asia,Kanagawa,Yokohama,35.443708,139.638026,1,0,,
1.98802E+11,1988,2,21,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98802E+11,1988,2,29,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98803E+11,1988,3,4,,0,,184,South Korea,4,East Asia,Busan,Busan,35.179554,129.075642,1,0,,
1.98803E+11,1988,3,12,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98803E+11,1988,3,18,,0,,184,South Korea,4,East Asia,Seoul,Seoul,37.566535,126.977969,1,0,,
1.98803E+11,1988,3,21,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98803E+11,1988,3,21,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98803E+11,1988,3,21,,0,,101,Japan,4,East Asia,Fukouka,Fukouka,33.580412,130.396361,1,0,,
1.98804E+11,1988,4,13,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1,0,,
1.98804E+11,1988,4,25,,0,,101,Japan,4,East Asia,Chiba,Kimitsu,35.33045,139.902677,1,0,,
1.98805E+11,1988,5,23,,0,,184,South Korea,4,East Asia,Gwangju,Gwangju,35.159545,126.852601,1,0,,
1.98805E+11,1988,5,26,,0,,184,South Korea,4,East Asia,Seoul,Seoul,37.566535,126.977969,1,0,,
1.98806E+11,1988,6,13,,0,,184,South Korea,4,East Asia,Daegu,Daegu,35.871435,128.601445,1,0,,
1.98807E+11,1988,7,26,,0,,184,South Korea,4,East Asia,Seoul,Seoul,37.566535,126.977969,1,0,,
1.98808E+11,1988,8,10,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98809E+11,1988,9,26,,0,,101,Japan,4,East Asia,Chiba,Kamagaya,35.77675,140.00079,1,0,,
1.98809E+11,1988,9,29,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.98809E+11,1988,9,30,,0,,184,South Korea,4,East Asia,Seoul,Seoul,37.566535,126.977969,1,0,,
1.9881E+11,1988,10,3,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
1.9881E+11,1988,10,3,,0,,101,Japan,4,East Asia,Tokyo,Tokyo,35.689125,139.747742,1,0,,
